Person,Relative,Relationship
<Anonyma 2118>,<Theodote 2101>,mother
<Ioannes 468>,<Maria 146>,son
<Anonymi 14124>,<Theodosios 14102>,kin
<Konstantinos 134>,<Maritza 102>,husband
<Konstantinos 134>,<Chotianos 101>,son
<Nur al-Din 4001>,<Anar 101>,son-in-law
<Nur al-Din 4001>,<Aksungur 4001>,grandson
<Nur al-Din 4001>,<Ismail 102>,father
<Nur al-Din 4001>,<Zengi 4001>,son
<Nur al-Din 4001>,<Anonyma 245>,father
<Nur al-Din 4001>,<Anonyma 251>,husband
<Anonyma 2125>,<Anonymus 2238>,wife
<Anonyma 2125>,<Theodoros 101>,mother-in-law
<Anonyma 2125>,<Anonyma 2126>,mother
<Eirene 66>,<Conrad 53>,kin
<Eirene 66>,<Anna 17001>,mother
<Eirene 66>,<Manuel 1>,wife
<Eirene 66>,<Berengar 101>,daughter
<Eirene 66>,<Maria 17002>,mother
<Eirene 66>,<Anonyma 254>,sister
<Anonyma 206>,<Nikephoros 160>,wife (second)
<Walter 4004>,<Eustace 4003>,son
<Walter 4004>,<Eustace 4004>,brother (twin)
<Walter 4004>,<Emelota 4001>,son
<Walter 4004>,<Hugh 4009>,step-son
<Basileios 150>,<Nikolaos 142>,brother
<Maria 169>,<Manuel 119>,wife
<Maria 169>,<Ioannes 63>,mother
<Maria 169>,<Isaakios 1>,mother
<Anonyma 5003>,<Anna 61>,mother
<Basileios 160>,<Paulos 112>,son
<Nikolaos 173>,<Romanos 107>,brother
<Poulcheria 101>,<Anonyma 6006>,mother
<Poulcheria 101>,<Romanos 3>,sister
<Poulcheria 101>,<Basileios 103>,wife
<Anonyma 5004>,<Ioannes 63>,sister
<Anonyma 5004>,<Theodoros 101>,mother
<Anonyma 5005>,<Maria 62>,mother
<Theodora 1>,<Romanos 3>,kin
<Theodora 1>,<Zoe 1>,sister
<Theodora 1>,<Helena 103>,daughter
<Theodora 1>,<Eudokia 101>,sister
<Theodora 1>,<Basileios 2>,niece
<Theodora 1>,<Konstantinos 8>,daughter
<Theodora 1>,<Konstantinos 9>,sister-in-law
<Anonyma 5006>,<Alexios 1>,wife (first)
<Anonyma 5006>,<Anonymus 5016>,daughter
<Alexios 25001>,<Ioannes 392>,brother
<Alexios 25001>,<Ioannes 2>,grandson
<Alexios 25001>,<Isaakios 103>,son
<Anonyma 254>,<Berengar 101>,daughter
<Anonyma 254>,<Eirene 66>,sister
<Anonyma 7000>,<Konstantinos 63>,wife
<Melikshah 101>,<Anonyma 243>,husband
<Melikshah 101>,<Masud 17001>,half-brother
<Anonyma 7004>,<Konstantinos 9>,wife
<Basileios 61>,<Georgios 61>,cousin
<Alexios 25003>,<Eirene 20115>,son
<Alexios 25003>,<Ioannes 17006>,brother
<Alexios 25003>,<Alexios 1>,great grandson
<Alexios 25003>,<Andronikos 109>,son
<Alexios 25003>,<Ioannes 2>,grandson
<Alexios 25003>,<Manuel 1>,nephew
<Anonyma 204>,<Ioannes 384>,mother
<Anonyma 204>,<Maria 164>,mother
<Euphrosyne 101>,<Michael 147>,wife
<Geoffrey 4004>,<Joscelin 4001>,brother
<Anonymi 7005>,<Ioannes 68>,cousin (first)
<Basileios 173>,<Nikephoros 133>,grandson
<Anonymi 5016>,<Anonyma 105>,son
<Anna 20112>,<Theodoros 1>,wife
<Anna 20112>,<Alexios 3>,daughter
<Theodora 25002>,<Anonymus 25015>,in-law
<Theodora 25002>,<Alexios 20111>,ancestor (grandfather)
<Theodora 25002>,<Manuel 25001>,wife
<Theodora 25002>,<Ioannes 17011>,mother-in-law
<Theodora 25002>,<Ioannes 2>,daughter
<Theodora 25002>,<Manuel 1>,sister
<Michael 120>,<Michael 105>,grandson
<Basileios 153>,<Demetrios 123>,son
<Isaakios 105>,<Konstantinos 131>,son
<Eirene 25002>,<Ioannes 2>,kin
<Eirene 25002>,<Andronikos 112>,mother
<Eirene 25002>,<Gregorios 105>,wife
<Bebdene 101>,<Nikephoros 3>,wife
<Romanos 110>,<Agathe 104>,husband
<Romanos 110>,<Romanos 3>,grandfather
<Romanos 110>,<Konstantinos 7>,brother-in-law
<Belkonas 101>,<Sergios 102>,son
<Apasios 11001>,<Gregorios 61>,brother
<Apasios 11001>,<Anonyma 11001>,son
<Zoe 101>,<Adrianos 102>,wife
<Zoe 101>,<Konstantinos 10>,daughter
<Zoe 101>,<Nikephoros 64>,half-sister
<Zoe 101>,<Konstantios 61>,sister
<Zoe 101>,<Ioannes 2>,aunt
<Zoe 101>,<Eudokia 1>,daughter
<Manuel 20121>,<Andronikos 1>,son
<Konstantinos 131>,<Isaakios 61>,son
<Konstantinos 131>,<Isaakios 105>,father
<Eustathios 105>,<Eirene 103>,brother
<Eustathios 105>,<Eirene 102>,father
<Eustathios 105>,<Anonymus 294>,son
<Eustathios 105>,<Anonymi 139>,brother
<Eustathios 105>,<Anna 102>,husband
<Eustathios 105>,<Anonyma 125>,son
<Eustathios 105>,<Michael 141>,father-in-law
<Eustathios 105>,<Romanos 106>,father
